タイトル,列1,テキスト,テキスト 1,プロパティ,Column1,Column3,Column4
"今すぐコピペで試して

深津さんが考案した、シンプルなプロンプトで成果物の質を向上させ続ける方法

「では、この出力を60点とします。これを60点とした時に100点とはどのようなものですか？ 100点にするために足りないものを列挙した後に、100点の答えを生成してください」",,,,70,https://x.com/shota7180/status/1805362785305637049,木内翔大＠SHIFT AI代表「日本をAI先進国に」𝕏,https://pbs.twimg.com/profile_images/1734034566925725696/cI8GDs2U_bigger.jpg
"Claude 3.5とArtifacts
YouTube動画の全体像を一発でマインドマップにしてもらう方法

普通に「マインドマップ作って」と依頼すると、真ん中から放射状に展開するスタンダードなマインドマップが作られてしまって個人的には見にくい。",,,,71,https://x.com/excel_niisan/status/1804579552876024153,エクセル兄さん(たてばやし淳)@AI時代のExcel術_書籍多数,https://pbs.twimg.com/profile_images/1020192051374088192/bI1PH6lx_bigger.jpg
Claude3Opusの時の焼き直しですみませんがClaude3.5Sonnetの性能はさらに上がってますね,,,,72,https://x.com/genkAIjokyo/status/1803920902746444157,限界助教|ChatGPT/Claude/Geminiで論文作成と科研費申請,https://pbs.twimg.com/profile_images/1669206571023470593/KQJtqLwG_bigger.jpg
"ここら辺とかマジでためになった
#GoogleForJapan",,,,73,https://x.com/Holy_fox_LLM/status/1803347325613711425,ほーりー ふぉっくす,https://pbs.twimg.com/profile_images/1757306659729473536/MSoC_v8l_bigger.jpg
"さらに顕著な例を見てくれ。
AzureのサービスでGPT-4oを強化すると最強だというのが分かってもらえると思う。",,,,74,https://x.com/super_bonochin/status/1799452550665773447,炎鎮 - ₿onochin -,https://pbs.twimg.com/profile_images/1860331353302269955/g0pm134v_bigger.jpg
"【Googleが無料の高精度AIチャットボットを公開】

この「NotebookLM」は是非使うべき。無料で提供して良いレベルでない笑

・資料アップで自動要約＋推奨質問が生成
・Gemini 1.5 Pro搭載で高精度
・出典場所も明記（正誤確認が容易）
・メモも自由に残せる

使い方＋GPT-4oとの精度比較記事↓",,,,75,https://x.com/masahirochaen/status/1799368776234021154,チャエン | デジライズ CEO《重要AIニュースを毎日最速で発信》,https://pbs.twimg.com/profile_images/1689665533929725953/fClFlzLd_bigger.jpg
"【超簡単】意外と知られてない ・・・
ChatGPTのDALL-E3で
理想のポーズを描く方法 

キャラのポーズを変えたいけど
やり方がわからない  とお悩みの方に
誰でも簡単にできる方法、教えます 

使うAIは、ChatGPTだけ 
以下でやり方を解説  あとで実践",,,,76,https://x.com/BearDahlia05/status/1799571164500799850,べあ｜GPTs & Dify 開発,https://pbs.twimg.com/profile_images/1767721329351122944/333OCiYm_bigger.jpg
"【100万フォロワー】生成AIを効果的にSNS投稿に用いた事例

多分これがショート動画制作でAIをフルで使う最適解。

これだと動画の素材を撮るだけで、本人でなくても作業ができ、効率よくSNS運用できる。

そのうち素材もゼロから生成できるだろう。

■使用ツール
・台本作成：GPT-4o
・音声：eleven",,,,77,https://x.com/masahirochaen/status/1799438489764929667,チャエン | デジライズ CEO《重要AIニュースを毎日最速で発信》,https://pbs.twimg.com/profile_images/1689665533929725953/fClFlzLd_bigger.jpg
"【GPT-4oでレシート読み込み
→直接Excel（スプシ）にぶち込む！】

前回プチバズった「レシートをまとめてGPT-4oで読み取る」のポストですが、

ご質問で「そのままExcelに保存できないんですか？」という話があったので。

ぶち込んでみました！

GPT化して、Zapierと連携し、",,,,78,https://x.com/excel_niisan/status/1799124999221157968,エクセル兄さん(たてばやし淳)@AI時代のExcel術_書籍多数,https://pbs.twimg.com/profile_images/1020192051374088192/bI1PH6lx_bigger.jpg
"Gemini 1.5 Pro & Flashにアクセスする方法

先日発表されたばかりのGoogleのGeminiの最新版
「どこから使えるの？」という方向けにご紹介♪

無料で使用できるのでぜひ最新AIのアウトプットを試してみてください

1. https://ai.google.dev/aistudio?hl=ja  より「Google AI Studio」にログイン

2.",,,,79,https://x.com/Mikimiki10211/status/1793914664038146226,mikimiki(扇田 美紀) @Canva / AI最新トレンド発信中,https://pbs.twimg.com/profile_images/1523565099838951429/ig6WPtWT_bigger.jpg
"「初心者が絵で理解するDocker」の記事がわかりやすすぎる。「Dockerって何？」という人から中級者の人までDockerの原理や基礎を豊富な図解とともに学ぶことができる。

こちら
https://zenn.dev/suzuki_hoge/books/2021-04-docker-picture-60fbe950136be9c7ad85…",,,,80,https://x.com/MacopeninSUTABA/status/1798490483477331977,かずなり | 生成AI×ビジネスハック,https://pbs.twimg.com/profile_images/1871687946988060673/xDsh_ngS_bigger.jpg
"【無料ダウンロードコンテンツ書籍】
「SQLの教科書」

ビッグデータ時代に必須な知識であるSQLやデータベースについてゼロからご説明した資料です！プログラミングする方もされない方もぜひご覧ください！

#SQL  #データベース　#TOPSIC",,,,81,https://x.com/topsicjapan/status/1463761097358397440,プログラミングスキル判定サービス：TOPSIC(トップシック),https://pbs.twimg.com/profile_images/1090103278724014080/TBCGvd4X_bigger.jpg
"神すぎる図表生成AIツール「eraser」のGPTsで

スプレットシート→データ分析→フローチャート生成
を一気通貫でできるのヤバすぎます笑

GPTsにスプレッドシートを添付。この業務内容から効率化できそうな箇所を教えて！
→箇条書きで生成。

これらの内容から、フローチャートを生成して！",,,,82,https://x.com/taiyo_ai_gakuse/status/1797685777478107607,Taiyo | AIで遊ぶ大学生,https://pbs.twimg.com/profile_images/1623855196416929792/HQu0OvgE_bigger.jpg
"九州大がデータサイエンス概論の講義資料を無料公開している！
データとは？からPython、AI基礎、画像処理などが学べて情報量がすごすぎる

図解を用いた説明で頭に入ってきやすい&楽しんで学べます
初学者にうってつけの内容！
http://mdsc.kyushu-u.ac.jp/lectures

#今日の積み上げ #データ分析 #AI",,,,83,https://x.com/SkillupAi/status/1797599137980199173,みきてぃ｜AI/データ分析のプロ目指して奮闘中,https://pbs.twimg.com/profile_images/1887342550086000641/df48ryi__bigger.jpg
"やばいやばいやばい！！！ヤバすぎる。

3秒でSNSアプリのワークフローの図を作れてしまう件。。　
#AI",,,,84,https://x.com/taiyo_ai_gakuse/status/1797553580305723398,Taiyo | AIで遊ぶ大学生,https://pbs.twimg.com/profile_images/1623855196416929792/HQu0OvgE_bigger.jpg
"【解説】
iPhoneの共有アルバムについて

共有アルバムとはiPhoneで撮った写真を特定の人と共有できるサービス。
最大5,000ファイル入れれるフォルダを200個まで作れるので、合計100万枚分を無料で保存できる。
iCloudやiPhoneのストレージと独立しているため、バックアップにも使える。

↓続く",,,,85,https://x.com/kaju_329/status/1797387730105807225,かじゅ,https://pbs.twimg.com/profile_images/1839986168555036672/-UDwO2sL_bigger.jpg
Gitの習得に役立つ素晴らしいサイトがあります。このサイトでは、視覚的なツールやパズルを使って、楽しみながらGitを学ぶことができます。,,,,86,https://x.com/jalva_dev/status/1796762595522949214,Jeffry Alvarado,https://pbs.twimg.com/profile_images/1331725061879853057/r8KOXERo_bigger.jpg
"【WebページをGPT-4oで丸ごと要約・翻訳】

iPhoneでWebページを開いたまま、
直接「GPT-4o」を呼び出して
ページを全文要約/翻訳できる
iOSショートカットを作りました。

「共有」→「GPT-4oで要約」
「共有」→「GPT-4oで要約してメモ」

どちらかタップするだけ。",,,,87,https://x.com/excel_niisan/status/1796635431842500864,エクセル兄さん(たてばやし淳)@AI時代のExcel術_書籍多数,https://pbs.twimg.com/profile_images/1020192051374088192/bI1PH6lx_bigger.jpg
"【朗報】水分を吸うと冷却する、「逆ヒートテック」爆誕

これはヤバい。汗をかくと生地が冷え、寒くなると熱を吸収する。生地が自動で温度調節してくれる。一年中これ着てればええやん。発売した瞬間爆買いする。",,,,88,https://x.com/ZanEngineer/status/1792927461874786568,お侍さん,https://pbs.twimg.com/profile_images/1602984522605215749/fwzWfKaH_bigger.jpg
「日本はオワコンというが、アニメもゲームも世界から支持されてるじゃないか」というのは私は全く首を傾げてしまうんだが、理由はまさにここで示唆されているが、トヨタは従業員や関連会社など、社内外の人を食わせてきたし、また経済社会の推進力になった。アニメやゲームはそうなっていない。,,,,89,https://x.com/jiei_yushi/status/1792744110354518205,慈永祐士,https://pbs.twimg.com/profile_images/1718460670398894080/5Akmr8XT_bigger.jpg
"【感謝！】「Create. xyz日本語ガイド」が公開されています！

5分あれば簡単にノーコードでwebサイトやアプリが作れちゃう「Create. xyz」

公式アンバサダーの、さとこよさんと、はるかさんの共同で日本語ガイドを作成。

使い方や具体的なプロンプトまで、
内容がとても充実しています！",,,,90,https://x.com/tetumemo/status/1792839806546051403,テツメモ｜AI図解×検証｜Newsletter,https://pbs.twimg.com/profile_images/1740572915685584896/7nsuwNFv_bigger.jpg
"Googleの中の人にGoogle AI Studioをアピールして欲しいと言われたものの
（特にアピールポイント思いつかないなぁ）
とか失礼なこと思っていたのですが、Claude 3 Opus、GPT-4に性能で並ぶGemini 1.5 Proが無料で使えるの普通に凄いのでは？と気づきました",,,,91,https://x.com/karaage0703/status/1792180159082275059,からあげ,https://pbs.twimg.com/profile_images/1013410868606877696/hwtzVfcl_bigger.jpg
"Pythonを使って作ったスマートリモコン。LINEで電気つけてと入力すると赤外線が出て、電気をつけてくれる仕組み。その後付けましたと返してくれる。LINE⇒LINE messaging API⇒GAS⇒beebotte⇒Raspberry Pi zeroのPython⇒赤外線放射⇒LINE #駆け出しエンジニアと繋がりたい
#プログラミング初心者",,,,92,https://x.com/nekoshadow01/status/1707176304708362711,ロボメカ,https://pbs.twimg.com/profile_images/1752865918684971008/G_RHUjHa_bigger.jpg
"アレクサを1から作った。LINEすると家の電気がつく。ラズベリーパイゼロを使用し、サーバー言語はGoogleのGASを使い、LINEとの連携はAPIでできる。ラズベリーパイとGASの連携はBeebotteでできる。

#駆け出しエンジニアと繋がりたい
#プログラミング初心者",,,,93,https://x.com/nekoshadow01/status/1730509997539553425,ロボメカ,https://pbs.twimg.com/profile_images/1752865918684971008/G_RHUjHa_bigger.jpg
"家の中のWi-Fiの強さをARで可視化

これは地味に便利そう",,,,94,https://x.com/van_eng622/status/1791289417551974552,IVAN@AR × Marketing,https://pbs.twimg.com/profile_images/1495573056131317761/d3Cfx1NP_bigger.jpg
エンジニアのChatGPTの活用方法が総まとめされている,,,,95,https://x.com/MacopeninSUTABA/status/1791302872745075112,かずなり | 生成AI×ビジネスハック,https://pbs.twimg.com/profile_images/1871687946988060673/xDsh_ngS_bigger.jpg
GPT-4oになると文字起こし精度が高いから、こういうことが簡単にできるのもいいね！,,,,96,https://x.com/excel_niisan/status/1791322478327013698,エクセル兄さん(たてばやし淳)@AI時代のExcel術_書籍多数,https://pbs.twimg.com/profile_images/1020192051374088192/bI1PH6lx_bigger.jpg
"GPT-4oとの会話だけで高品質サイトを生成できるアプリ
ㅤ
信じられませんが、この3ページのHPがたった1分で作れました...
ㅤ
・対話形式なのでガチ初心者でも作れる (のに高クオリティ)
・テキストだけで簡単に部分改変も可能
・GPT-4oなのでスピード感がエグい
ㅤ
こちら
 https://wegic.ai/login?ic=oQnGNgrKSQ2oXhIXX7tBsQ…",,,,97,https://x.com/SuguruKun_ai/status/1790739150288896415,すぐる | ChatGPTガチ勢 𝕏,https://pbs.twimg.com/profile_images/1765706549824221184/N0yR_7Sj_bigger.jpg
"あなたの職業に特化した
ChatGPTの活用方法が
分かるプロンプト公開！

びっくりする事実もありました。

コピペで簡単に
あなたに合った
ChatGPTの活用方法が分かります。

今回は、
・GPT-4
・Claude3-opus
・Gemini1.5Pro
・GPT2

それぞれで出力を行い、比較したので、",,,,98,https://x.com/ai_Prompt_1144/status/1788854568534835575,七里信一 | 日本一わかりやすく生成AIを教えてます,https://pbs.twimg.com/profile_images/1825786909899255808/2yf3h85F_bigger.jpg
"ChatGPTの
オートプロンプト作りました。

ChatGPTsとの連携とか
考えただけで無限の可能があります。",,,,99,https://x.com/ai_Prompt_1144/status/1782960375992058009,七里信一 | 日本一わかりやすく生成AIを教えてます,https://pbs.twimg.com/profile_images/1825786909899255808/2yf3h85F_bigger.jpg
"マニアック過ぎて、
説明が難しいのですが、
ChatGPTの回答を分割して、
変数をして設定します。

その変数の数だけ、
自動で投稿をし続ける仕組みを、
chromeの拡張機能に追加しました。

下記で拡張機能をインストールできます。
https://chromewebstore.google.com/detail/chatgpt%E5%B0%82%E7%94%A8%E2%80%9D%E7%94%9F%E6%88%90ai%E3%83%97%E3%83%AD%E3%83%B3%E3%83%97%E3%83%88%E7%A0%94%E7%A9%B6%E6%89%80%E2%80%9Dch/nmailmmpcejlikeniidpogmkinchhfag?hl=ja&utm_source=ext_sidebar…

右側のオートプロンプト一覧から、",,,,100,https://x.com/ai_Prompt_1144/status/1782960378693214527,七里信一 | 日本一わかりやすく生成AIを教えてます,https://pbs.twimg.com/profile_images/1825786909899255808/2yf3h85F_bigger.jpg
"手順①
Gmailの検索ボックスに魔法のコマンドをコピペ
↓↓↓↓↓
is:unread category:promotions older_than:1y

手順②
全選択ボックスにチェックを入れて「この検索条件に一致するすべてのスレッドを選択」をクリック

手順③
ゴミ箱マークをクリックしてメールを削除

手順④",,,,101,https://x.com/asacha_cha/status/1782876479984136433,あさちゃ,https://pbs.twimg.com/profile_images/1657312306089562117/MjebYYaP_bigger.jpg
"筑波大学が無料で公開している「Python ゼロからはじめるプログラミング」が凄いので共有。Pythonの基本文法や発展的な内容、定義関数、クラスといった実務で使える技術を学ぶことができる。本質的な解説が多くてすごい。

こちら
https://mitani.cs.tsukuba.ac.jp/book_support/python/python_slides.pdf…",,,,102,https://x.com/MacopeninSUTABA/status/1782379214374855063,かずなり | 生成AI×ビジネスハック,https://pbs.twimg.com/profile_images/1871687946988060673/xDsh_ngS_bigger.jpg
こどもが最近ポケモンアルセウスをやっていてエンドコンテンツ向けにレベル上げが必要なのですが、このゲームにはAボタン連打で自動レベル上げという古き良きレベル上げ方法があるもののレベル100を目指すと数時間の連打が必要なので、M5ATOMをSwitchコントローラー化して完全自動化してみた #M5Stack,,,,103,https://x.com/miso_develop/status/1778812526731628695,田中みそ,https://pbs.twimg.com/profile_images/953310291206393856/c-0P6T2U_bigger.jpg
元ネタ,,,,104,https://x.com/masahirochaen/status/1778913618110906455,チャエン | デジライズ CEO《重要AIニュースを毎日最速で発信》,https://pbs.twimg.com/profile_images/1689665533929725953/fClFlzLd_bigger.jpg
"○Viggle AI　公式サイト
https://viggle.ai

Discordに入って、Midjourneyみたいにプロンプトを打てば誰でも無料で作れます

画像アップして以下のプロンプトを入力

○プロンプト
MotionPrompt: $lil_yachty_stage_entrance
Finetune: on
Model: v2",,,,105,https://x.com/masahirochaen/status/1778913564914491446,チャエン | デジライズ CEO《重要AIニュースを毎日最速で発信》,https://pbs.twimg.com/profile_images/1689665533929725953/fClFlzLd_bigger.jpg
"【悲報：生成AIで一平さんのコラ動画が海外で激バズり】

昨日、違法賭博で約275億円の損失があったと報道された伝説のギャンブラー水原氏のコラ動画が海外で激バズりw

テーマは「ギャンブル界のカリスマ降臨」
ノリノリな登場シーンがヤバいw

ViggleAIを使えば誰でも無料で作れる

↓元ネタ＋作り方",,,,106,https://x.com/masahirochaen/status/1778913537164968346,チャエン | デジライズ CEO《重要AIニュースを毎日最速で発信》,https://pbs.twimg.com/profile_images/1689665533929725953/fClFlzLd_bigger.jpg
"シフト表自動作成プログラムのメインプロシージャ
若干爪痕は残ってるけど、事前に準備している簡単に実装できるライブラリを利用している。

具体的に専用のクラスモジュール（clsShiftMaker）を用意していて、
・条件設定
・割振り処理
・出力
をまとめて行えるようにしてある。",,,,107,https://x.com/aero_iki/status/1775036611119788069,いき（2/24発売 Excel VBA超効率化テクニック@技術評論社）,https://pbs.twimg.com/profile_images/1347898154285293570/7pc7Vh_q_bigger.jpg
"Excel VBA開発における技術ロードマップをまとめてみた（たぶん今後改訂予定）

これまで世に出ている技術本のほとんどは現場レベルでの開発技術を教授する内容ではないのが現実
そこをカバーするのが私の本
「Excel VBA開発を超効率化するプログラミングテクニック」
↓
https://gihyo.jp/book/2024/978-4-297-14023-6…",,,,108,https://x.com/aero_iki/status/1775070234170491003,いき（2/24発売 Excel VBA超効率化テクニック@技術評論社）,https://pbs.twimg.com/profile_images/1347898154285293570/7pc7Vh_q_bigger.jpg
"Excelの数式で一番印象に残っているのは、
=IF(A2="""",B1,A2)
ですね。
この数式のおかげで、丸2日かかっていた作業が30分くらいに短縮できました。",,,,109,https://x.com/excelspeedup/status/1775122289094500766,はけた＠できるExcel2024,https://pbs.twimg.com/profile_images/1004521679895162881/Yt1Z8LqG_bigger.jpg
"茨城大学が無料で公開しているデータサイエンスの講義動画農学分野を題材にしており、実社会に活かせる内容を学習できるのが面白い各々の先生の説明も丁寧で分かりやすい

・相関係数と単回帰分析
・分散分析と多重比較
・スマート農業
・ゲノムデータの解析　等

https://agr.ibaraki.ac.jp/educationprogram/…",,,,110,https://x.com/miyashin_prg/status/1774752876604354648,みやさかしんや@Python/AI/DX,https://pbs.twimg.com/profile_images/1507405109789020164/l63YyOVc_bigger.jpg
ここだけの話ですが、PDFの表を『1分でExcelにコピペする方法』を知らない人が多すぎる。僕も今までせっせとベタ打ちしてたんだけど、マジで時間もかかるし、打ち間違いも多くて、チェックも大変。10年の付き合いの同僚に「なにムダな作業してるの？かんたんにコピペできるのに」と教えられて、思わず,,,,111,https://x.com/Kato_Sido/status/1773819060142342406,かとう士道,https://pbs.twimg.com/profile_images/1685935871252668416/SSRtUQxK_bigger.jpg
"ココだけの話「iPhone」「Brave」「FireTVStick」の組合せが最強過ぎる。FireTVStickにたった305円の“AirReceiver”アプリを入れるだけで“iPhoneの画面をミラーリング”できる。Braveを使うことで広告も出ない。たったの合計5,285円で「YouTubePremium」「19,800円するAppleTV」が不要に。さらにやばいの",,,,112,https://x.com/kaju_329/status/1774177927938351508,かじゅ,https://pbs.twimg.com/profile_images/1839986168555036672/-UDwO2sL_bigger.jpg
"開発者のものです。ありがとうございます！

ただいま障害が発生し一時的に使えない状況となっておりますが、無料・ログインなしで利用できますので、ぜひお試しください！

(参考: 会社HP http://mvrks.co.jp)",,,,113,https://x.com/sayhi2ai_jp/status/1772576599508172898,マーベリック|生成AI@NoLang,https://pbs.twimg.com/profile_images/1742767915542470656/zioekvJp_bigger.jpg
"南華工科大学のハオ・ウー教授は　

名前が富野命名っぽくてネタ臭く見えてしまう。",,,,114,https://x.com/nasitaro/status/1769898675009142811,猫のリュックくん,https://pbs.twimg.com/profile_images/1894015800815894528/gru4I0yK_bigger.jpg
"アンディ（#AndyTimmons）の特集号ですが、昨年8月の発売から約半年でAmazonでは品切れですでにプレミア価格になっています。

ですが4月上旬には重版されるようです",,,,115,https://x.com/andytimmons_ota/status/1770306663033262354,Kazufumi/アンディ・ティモンズ オタク,https://pbs.twimg.com/profile_images/732184605256650752/cmGDEXB9_bigger.jpg
何度も言いますが、三井住友カード(NL) と oliveフレキシブルペイ の違いを知らない人が多すぎる。どちらも「セブンやサイゼで7％還元」「SBI証券で新NISAに使える」oliveは「４つの機能が１枚に」「年会費は初年度無料」三井住友銀行が引き落とし口座に固定だけど、デメリットを解消する裏ワザは↓,,,,116,https://x.com/marumaru_biz_/status/1768742717679628302,まるまる｜資産形成を図解する人,https://pbs.twimg.com/profile_images/1778707175629844480/rrylm7rk_bigger.png
"ついに...人間が当直表、待機表、シフトの作成から解放される日が！

Claude3なら不都合日、休日担当数の公平性、当直日の間隔などを考慮してほぼ完璧なシフトを組んでくれます

これはGPT4でもミスが多かったタスクなのでClaude3Opusやっぱり優秀...

解説NOTE",,,,117,https://x.com/genkAIjokyo/status/1767834338748707175,限界助教|ChatGPT/Claude/Geminiで論文作成と科研費申請,https://pbs.twimg.com/profile_images/1669206571023470593/KQJtqLwG_bigger.jpg
"日本の生成AIが進化。

東大発のスタートアップ「イライザ社」がGoogleのGeminiと同じパラメーター数をもつ生成AIを発表。

↓のリンクからデモの体験ができます。

ちょっとさわってみたけど、かなり良いかも。",,,,118,https://x.com/ohashicodor/status/1767664170454171994,おおはし｜AI活用のプロ,https://pbs.twimg.com/profile_images/1743111176450646016/ljYhlxP9_bigger.jpg
Nuitkaは容量も小さくて更にオススメです合わせてどうぞ,,,,119,https://x.com/miyashin_prg/status/1761717719324594666,みやさかしんや@Python/AI/DX,https://pbs.twimg.com/profile_images/1507405109789020164/l63YyOVc_bigger.jpg
せっかく良いプログラムを作成してもPython出来る人しか使えないのはもったいないPythonが使えない人でもマウスクリックだけで実行可能に出来る超便利なライブラリ,,,,120,https://x.com/miyashin_prg/status/1761587792189239746,みやさかしんや@Python/AI/DX,https://pbs.twimg.com/profile_images/1507405109789020164/l63YyOVc_bigger.jpg
"IT企業のAI研修資料を使って無料で学習出来るMIXIが新卒向けに実施したAI研修資料機械学習で何ができるか、何が必要か、どうサービスと繋げるか、まで学べてスゴイ

・機械学習とは何か
・プログラミングとの違いは？
・統計との違いは？
・どんな問題を解決できるのか？
・機械学習の分類",,,,121,https://x.com/miyashin_prg/status/1764976125598679115,みやさかしんや@Python/AI/DX,https://pbs.twimg.com/profile_images/1507405109789020164/l63YyOVc_bigger.jpg
"まとめ
braveというアプリを使えば…
・バックグラウンド再生もできて、iPhone閉じても音楽が聴ける！
・広告全カット
・YouTubeプレミアム、Apple musicいらなくなる！

参考になればいいねもらえたら嬉しいです
@Adit99648675 ←フォローするとiPhone神設定を受け取っていただけます！",,,,122,https://x.com/Adit99648675/status/1762585837043429555,ゆうと,https://pbs.twimg.com/profile_images/1749391248404922368/LsPrzMX1_bigger.jpg
"X（Twitter）の投稿文を
業界名だけで自動生成してくれるプロンプト

コピペで簡単に作れます。
ＡＩぽい文章を消す裏技使ってます。

ChatGPTは段階的に考えさせると

回答精度がドンドンとあがります。
プロンプトこちら

今回はプロンプトを２つ組合わせてます。",,,,123,https://x.com/ai_Prompt_1144/status/1762405557267579062,七里信一 | 日本一わかりやすく生成AIを教えてます,https://pbs.twimg.com/profile_images/1825786909899255808/2yf3h85F_bigger.jpg
"【業務で使える】ChatGPTの表計算関連機能が大強化！

ChatGPTでPythonプログラミングができる機能Advanced data analysisがバージョン2に！
これにより、表計算関連の機能が大幅に強化されます！

【目玉アップデート】
①読み込み対応ファイルが増えました！
「xls」「xlsx」「csv」「json」に対応！",,,,124,https://x.com/shota7180/status/1762786968872857694,木内翔大＠SHIFT AI代表「日本をAI先進国に」𝕏,https://pbs.twimg.com/profile_images/1734034566925725696/cI8GDs2U_bigger.jpg
やっぱお年寄りでも大企業できちんと働いてた人は違うな,,,,125,https://x.com/ajipondu/status/1760676147145351445,味ポン,https://pbs.twimg.com/profile_images/1645415826743496704/KS5v8NZL_bigger.jpg
"続き）桝山寛・中村光一・八谷和彦・久保田晃弘対談。インターフェイス。
中村光一はドラクエ等であえてキーコンフィグを入れない。
久保田「万年筆のキャップを閉める音は書くこととは関係ないが重要」
中村「レスポンスは映像の反応は遅くても音が早ければよい」
久保田「メニュー型とコクピット型」",,,,126,https://x.com/aysgstr/status/1760443832834113585,あやしょう,https://pbs.twimg.com/profile_images/1739294734823378944/rsyBOrx5_bigger.jpg
プログラマー中村光一さんのアイデアですね。,,,,127,https://x.com/mos_akigami/status/1760523343030292948,モスアット,https://pbs.twimg.com/profile_images/1370400468547997697/96pCYxPe_bigger.jpg
"Chat GPTの公式プラグイン「Code interpreter」すご！当直表がさくっと作れてしまった！
ということで以下実践例について紹介します　1/7",,,,128,https://x.com/matsuikentaro1/status/1677723059728547841,松井健太郎 睡眠・精神医学 (Kentaro Matsui),https://pbs.twimg.com/profile_images/1423525451813711873/UeyJzj-A_bigger.jpg
"AIボーカル抽出ソフト！！もらっておきましょう！！！

【無料配布】AIに基づく最先端のソース分離モデルにより最高の精度でオーディオファイルからボーカルを削除する究極のAIボーカル除去・抽出ソフト 「Ultimate Vocal Remover v5」リリース & 無料配布中！！ https://freekontaktina.com/2023/07/ultimate-vocal-remover.html#Tl4uX9C.twitter_responsive… #DTM #DTMer",,,,129,https://x.com/kontaktina/status/1684027023814180864,Kontaktina【無料音源・DTMプラグイン情報サイト】,https://pbs.twimg.com/profile_images/1258472175180238850/2_-fKSSA_bigger.png
"「VectorizerAI」はココから使えます。猫が可愛すぎてヘッダーが…
https://vectorizer.ai",,,,130,https://x.com/bukuta_3/status/1653956126239776768,北川大空／エムフロ,https://pbs.twimg.com/profile_images/1850400828785561601/NSMlOypz_bigger.jpg
"Twitter運用をノーコードとChatGPTで自動化しちゃいました。

解説動画は撮りましたが、有料級なので無料では絶対教えません。

ChatGPT「ユーザー増やしたいから勝手にツイートしたろ」
平岡「ちょ、おま、待っ...」
ChatGPT「ポチッ」

#ChatGPT #Twitter連携",,,,131,https://x.com/hiraoka_dx/status/1621088177250508800,平岡 | 誰も置いていかない生成AI発明家,https://pbs.twimg.com/profile_images/1706894947839000576/ZKBcG063_bigger.jpg
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,